-2.008,0.484,-11.234,15.523,-0.034,0.062,0.135,0.001
-1.067,0.643,-13.833,24.224,-0.052,0.096,0.047,-0.014
-2.967,3.238,-15.278,26.107,-0.067,0.126,-0.080,0.276
-6.121,8.287,-18.140,30.428,-0.083,0.155,-0.126,0.416
-7.932,10.435,-18.048,28.427,-0.095,0.179,-0.288,0.819
-8.502,8.391,-16.022,19.002,-0.106,0.195,-0.520,1.487
-4.895,2.754,-9.094,5.710,-0.104,0.192,-0.851,2.110
-6.726,4.072,-8.109,6.020,-0.112,0.204,-0.999,2.244
-6.726,4.072,-11.070,11.942,-0.124,0.227,-0.999,2.244
-5.034,-1.620,-3.349,-9.358,-0.106,0.182,-1.162,2.739
-5.899,1.809,-3.103,-5.647,-0.110,0.191,-1.221,2.664
-6.384,1.559,-2.837,-7.637,-0.109,0.181,-1.218,2.645
-7.010,0.822,-2.516,-7.805,-0.109,0.185,-1.231,2.701
-2.702,-3.967,1.154,-11.796,-0.097,0.156,-1.268,2.535
-5.354,2.644,0.318,-7.613,-0.090,0.147,-1.141,2.221
-3.161,-0.067,4.757,-13.456,-0.077,0.122,-1.204,2.202
-1.475,-1.585,5.829,-12.661,-0.070,0.110,-1.165,2.011
-2.642,0.917,4.586,-13.078,-0.057,0.083,-0.948,1.697
-1.240,0.178,7.180,-13.856,-0.049,0.072,-0.972,1.596
-0.774,0.047,7.032,-13.355,-0.040,0.054,-0.850,1.349
-0.707,0.419,7.423,-12.850,-0.029,0.038,-0.737,1.121
0.232,0.411,8.189,-11.971,-0.014,0.014,-0.589,0.777
-0.235,0.887,8.254,-13.542,-0.006,-0.002,-0.488,0.654
0.865,-1.359,9.092,-14.823,0.004,-0.019,-0.402,0.499
-0.072,-0.215,6.263,-12.840,0.015,-0.039,-0.121,0.149
3.045,-2.169,8.405,-9.844,0.026,-0.057,-0.090,-0.223
2.360,0.018,9.972,-10.934,0.037,-0.076,-0.032,-0.408
5.214,-1.876,9.612,-9.527,0.048,-0.093,0.122,-0.686
2.380,-0.017,7.303,-7.847,0.058,-0.111,0.366,-0.999
1.406,1.823,9.705,-13.399,0.069,-0.131,0.380,-0.965
3.780,-1.016,8.612,-8.521,0.078,-0.143,0.543,-1.364
4.473,-2.896,9.442,-12.297,0.089,-0.165,0.637,-1.447
4.178,-3.984,8.459,-12.118,0.098,-0.183,0.806,-1.684
