0.153,-0.795,6.420,-6.232,-0.358,-0.074,-2.328,-1.908,2.393,-12.051,0.177,-0.025,-0.250,-0.213
0.004,-0.756,6.148,-6.098,-0.371,-0.070,-2.684,-1.901,2.470,-11.942,0.196,-0.048,-0.168,-0.399
0.004,-0.860,6.345,-6.063,-0.341,-0.083,-2.484,-1.953,2.141,-12.008,0.188,-0.036,-0.169,-0.062
0.301,-0.730,6.527,-6.317,-0.354,-0.079,-2.657,-1.840,1.862,-12.118,0.188,-0.023,-0.251,-0.446
0.301,-0.730,6.527,-6.317,-0.354,-0.079,-2.657,-1.840,1.862,-12.118,0.188,-0.023,-0.251,-0.446
-0.111,-0.678,6.360,-5.995,-0.387,-0.066,-2.682,-1.862,2.588,-11.942,0.226,-0.033,-0.361,-0.110
-0.004,-0.847,6.561,-5.693,-0.334,-0.066,-2.408,-1.690,2.180,-11.284,0.184,-0.044,-0.298,-0.109
-0.078,-0.745,5.970,-5.884,-0.347,-0.077,-2.511,-1.773,1.915,-11.113,0.171,-0.041,-0.317,-0.109
-0.037,-1.018,6.255,-6.356,-0.315,-0.071,-2.624,-1.802,2.263,-11.851,0.212,-0.015,-0.117,-0.064
-0.037,-1.018,6.255,-6.356,-0.315,-0.071,-2.624,-1.802,2.263,-11.851,0.212,-0.015,-0.117,-0.064
0.037,-0.666,5.900,-6.272,-0.275,-0.116,-2.527,-2.058,2.081,-11.348,0.209,-0.023,-0.360,-0.122
-0.111,-0.834,6.059,-6.189,-0.329,-0.081,-2.667,-1.840,2.261,-12.062,0.205,-0.036,-0.333,-0.057
-0.111,-0.834,6.059,-6.189,-0.329,-0.081,-2.667,-1.840,2.261,-12.062,0.205,-0.036,-0.333,-0.057
0.037,-0.795,6.360,-6.060,-0.371,-0.070,-2.538,-1.795,2.142,-11.851,0.183,-0.038,-0.102,-0.013
0.037,-0.795,6.360,-6.060,-0.371,-0.070,-2.538,-1.795,2.142,-11.851,0.183,-0.038,-0.102,-0.013
-0.004,-0.782,6.138,-5.999,-0.312,-0.105,-2.656,-1.870,2.069,-12.589,0.238,-0.023,-0.251,-0.351
-0.004,-0.782,6.138,-5.999,-0.312,-0.105,-2.656,-1.870,2.069,-12.589,0.238,-0.023,-0.251,-0.351
-0.111,-0.717,6.080,-6.052,-0.365,-0.076,-2.756,-1.705,2.424,-11.938,0.270,-0.022,-0.205,0.084
-0.012,-0.782,6.122,-6.242,-0.406,-0.066,-2.565,-1.726,1.741,-12.087,0.187,-0.036,-0.250,-0.255
0.037,-0.782,6.143,-6.188,-0.368,-0.071,-2.449,-1.855,2.036,-11.851,0.169,-0.033,-0.250,-0.206
-0.004,-0.821,6.370,-6.272,-0.379,-0.087,-2.565,-1.840,2.404,-11.839,0.179,-0.038,-0.352,-0.109
0.046,-0.651,6.036,-6.105,-0.367,-0.075,-2.409,-1.900,2.239,-11.772,0.184,-0.037,-0.199,-0.109
0.145,-0.639,6.207,-6.105,-0.358,-0.083,-2.365,-1.735,2.165,-12.431,0.190,-0.030,-0.199,0.084
0.275,-0.822,6.052,-6.021,-0.343,-0.087,-2.624,-1.719,2.080,-11.694,0.254,-0.032,-0.194,-0.111
0.153,-0.717,6.079,-6.076,-0.364,-0.072,-2.394,-1.930,2.142,-11.627,0.185,-0.028,-0.199,-0.112
-0.119,-0.861,6.129,-5.885,-0.398,-0.081,-2.570,-1.773,1.837,-12.196,0.174,-0.026,-0.252,-0.303
-0.112,-0.743,6.233,-6.243,-0.357,-0.093,-2.495,-1.818,2.082,-11.877,0.229,-0.033,-0.248,-0.255
0.078,-0.847,5.964,-5.772,-0.376,-0.086,-2.230,-1.908,1.837,-11.772,0.214,-0.029,-0.300,-0.206
0.078,-0.847,5.964,-5.772,-0.376,-0.086,-2.230,-1.908,1.837,-11.772,0.214,-0.029,-0.300,-0.206
0.031,-0.848,5.997,-6.209,-0.368,-0.084,-2.462,-1.652,2.224,-12.051,0.174,-0.039,-0.250,-0.206
0.235,-0.809,6.121,-6.105,-0.350,-0.080,-2.437,-1.697,2.093,-12.040,0.191,-0.029,-0.299,0.035
0.235,-0.809,6.121,-6.105,-0.350,-0.080,-2.437,-1.697,2.093,-12.040,0.191,-0.029,-0.299,0.035
0.078,-0.731,6.274,-5.908,-0.173,-0.142,-2.394,-1.811,1.896,-11.313,0.372,0.013,-0.302,-0.157
0.200,-0.808,5.924,-6.159,-0.157,-0.138,-2.220,-1.916,2.246,-12.049,0.436,0.030,-0.201,-0.352
-0.153,-0.717,6.320,-6.326,-0.237,-0.111,-2.193,-1.962,2.077,-11.905,0.304,-0.017,-0.201,-0.110
-0.078,-0.717,6.079,-5.964,-0.385,-0.089,-2.738,-1.719,2.081,-12.008,0.173,-0.032,-0.303,-0.062
-0.078,-0.717,6.079,-5.964,-0.385,-0.089,-2.738,-1.719,2.081,-12.008,0.173,-0.032,-0.303,-0.062
-0.072,-0.731,6.311,-5.826,-0.341,-0.090,-2.516,-1.735,1.917,-11.771,0.218,-0.037,-0.248,-0.060
-0.072,-0.731,6.311,-5.826,-0.341,-0.090,-2.516,-1.735,1.917,-11.771,0.218,-0.037,-0.248,-0.060
0.152,-0.704,6.370,-5.826,-0.049,-0.158,-2.493,-2.021,1.673,-11.785,0.508,0.055,-0.299,-0.110
0.227,-0.717,5.968,-6.272,-0.180,-0.123,-2.308,-1.824,1.754,-11.904,0.422,0.029,-0.201,-0.158
