3.758,-10.767,-18.678,-25.590,-16.000,-0.304,-43.789,-18.600,3.981,-15.273,-16.000,-0.005,17.501,-11.905
3.821,-10.759,-18.962,-25.690,-16.000,-0.304,-43.689,-18.534,3.932,-15.243,-16.000,-0.005,17.498,-11.932
3.775,-10.771,-19.074,-25.474,-16.000,-0.312,-43.619,-18.529,4.111,-14.935,-16.000,0.007,17.437,-11.958
3.800,-10.735,-18.712,-25.148,-16.000,-0.306,-43.402,-18.520,4.005,-14.999,-16.000,-0.004,17.400,-11.965
3.958,-10.757,-19.119,-25.324,-16.000,-0.308,-43.602,-18.471,4.444,-15.008,-16.000,-0.004,17.496,-12.001
3.762,-10.682,-19.831,-25.426,-16.000,-0.315,-43.447,-18.494,3.442,-15.221,-16.000,0.003,17.500,-11.995
3.816,-10.695,-19.480,-25.417,-16.000,-0.315,-43.404,-18.543,3.597,-15.106,-16.000,0.003,17.485,-11.964
3.726,-10.725,-19.750,-25.600,-16.000,-0.309,-43.583,-18.546,3.870,-15.031,-16.000,0.002,17.494,-11.963
3.802,-10.760,-19.686,-25.686,-16.000,-0.330,-43.791,-18.573,4.191,-15.391,-16.000,0.003,17.578,-12.006
3.805,-10.779,-19.638,-25.754,-16.000,-0.330,-43.911,-18.551,4.317,-15.481,-16.000,0.003,17.597,-12.013
3.809,-10.769,-19.504,-25.714,-16.000,-0.322,-43.849,-18.531,4.476,-15.417,-16.000,-0.000,17.591,-11.971
3.781,-10.775,-19.487,-25.862,-16.000,-0.322,-43.686,-18.510,4.005,-15.299,-16.000,-0.000,17.574,-11.963
3.631,-10.797,-19.862,-25.913,-16.000,-0.325,-43.875,-18.504,4.196,-15.281,-16.000,0.006,17.541,-11.986
3.759,-10.785,-19.859,-25.903,-16.000,-0.325,-43.868,-18.481,4.130,-15.340,-16.000,0.006,17.558,-11.995
3.986,-10.834,-19.343,-26.136,-16.000,-0.338,-44.029,-18.455,4.668,-15.152,-16.000,0.001,17.576,-11.998
3.856,-10.857,-19.649,-26.157,-16.000,-0.346,-44.075,-18.429,4.122,-15.435,-16.000,0.015,17.541,-12.005
3.789,-10.857,-19.863,-26.168,-16.000,-0.333,-44.062,-18.439,4.626,-15.298,-16.000,0.016,17.524,-11.978
3.889,-10.836,-19.744,-26.332,-16.000,-0.327,-44.021,-18.435,4.792,-15.246,-16.000,0.006,17.524,-11.994
3.968,-10.879,-19.679,-26.285,-16.000,-0.331,-43.922,-18.359,4.244,-15.408,-16.000,0.001,17.520,-11.998
3.882,-10.886,-19.734,-26.243,-16.000,-0.331,-43.997,-18.365,4.426,-15.359,-16.000,0.001,17.500,-11.982
3.956,-10.841,-19.909,-26.177,-16.000,-0.331,-44.091,-18.347,4.500,-15.278,-16.000,0.001,17.559,-12.028
3.879,-10.800,-20.038,-26.223,-16.000,-0.337,-44.124,-18.375,4.106,-15.585,-16.000,0.009,17.574,-12.037
3.822,-10.804,-20.070,-26.107,-16.000,-0.338,-44.256,-18.426,4.712,-15.681,-16.000,0.001,17.589,-12.023
3.890,-10.834,-20.110,-26.164,-16.000,-0.337,-44.127,-18.419,4.403,-15.427,-16.000,-0.003,17.532,-11.965
3.793,-10.809,-20.143,-25.989,-16.000,-0.342,-44.091,-18.383,4.331,-15.547,-16.000,0.005,17.567,-12.032
3.854,-10.806,-19.996,-25.944,-16.000,-0.342,-44.140,-18.392,4.344,-15.585,-16.000,0.005,17.573,-12.020
3.873,-10.815,-19.981,-26.335,-16.000,-0.345,-44.133,-18.434,4.417,-15.407,-16.000,-0.002,17.551,-12.003
3.808,-10.841,-20.067,-26.472,-16.000,-0.341,-44.098,-18.416,4.294,-15.499,-16.000,0.008,17.546,-12.005
3.794,-10.846,-20.080,-26.513,-16.000,-0.341,-44.121,-18.415,4.311,-15.509,-16.000,0.008,17.551,-12.011
3.779,-10.832,-19.718,-26.095,-16.000,-0.327,-44.046,-18.395,4.341,-15.326,-16.000,-0.010,17.549,-12.011
3.734,-10.840,-19.868,-26.442,-16.000,-0.313,-44.091,-18.385,4.277,-15.460,-16.000,-0.017,17.559,-12.018
3.727,-10.847,-20.213,-26.398,-16.000,-0.336,-44.155,-18.416,4.343,-15.596,-16.000,0.007,17.540,-12.006
3.818,-10.845,-20.021,-26.200,-16.000,-0.337,-44.152,-18.400,4.259,-15.615,-16.000,-0.000,17.587,-12.050
3.771,-10.858,-19.980,-26.195,-16.000,-0.337,-44.253,-18.413,4.333,-15.672,-16.000,-0.000,17.593,-12.046
3.811,-10.828,-19.821,-26.264,-16.000,-0.339,-44.189,-18.418,4.221,-15.610,-16.000,0.006,17.578,-12.024
3.762,-10.824,-19.892,-26.253,-16.000,-0.339,-44.179,-18.413,4.206,-15.591,-16.000,0.006,17.572,-12.026
3.597,-10.817,-20.056,-25.888,-16.000,-0.310,-44.058,-18.464,4.425,-15.261,-16.000,-0.020,17.527,-11.982
3.732,-10.785,-20.204,-26.078,-16.000,-0.309,-43.995,-18.412,4.255,-15.575,-16.000,-0.031,17.552,-12.024
3.881,-10.761,-19.753,-25.975,-16.000,-0.340,-43.954,-18.421,3.954,-15.771,-16.000,-0.012,17.572,-12.026
